"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"cud";0;0;0,00328737602575262;0;0;0;0;0;0;0,00356915111367427;0;0;0;0;0;0;0;0;0
"cudowny";0;0;0;0;0;0;0;0;0;0;0;0;0,00741535961973421;0;0;0;0;0;0,0128376581559035
"cullen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0254221003601187;0;0,0234622468081271;0,0105255534099701
"cullenow";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00635552509002966;0,0201231613052073;0;0,0105255534099701
"cullenowie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0201231613052073;0,0117311234040636;0,0210511068199402
"cwiczyc";0;0;0;0;0;0;0,00324468283061297;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"czar";0,000794882430496317;0,00166636583650377;0;0;0;0;0;0,00255736918480499;0;0;0,00216563344262388;0;0;0;0;0;0;0;0
"czara";0,00114848921974667;0,00481531136166581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarnoksieznik";0;0;0,00657475205150523;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"czarnomagiczny";0,00114848921974667;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"czarny";0,00304951205658069;0,00719201082877054;0,00109109565992032;0,00155780709826774;0,00359334170667091;0,00646963248012767;0,00538462793207429;0,0073583789215104;0;0,00236923629011269;0;0;0;0;0;0;0;0;0
"czarodziej";0,0129604262404679;0,00159822462861568;0,00436438263968127;0,00155780709826774;0,0011977805688903;0,00485222436009575;0,00323077675924457;0;0;0;0;0;0,012305964748873;0,0156232248116127;0;0;0;0;0
"czarodziejski";0;0;0,00328737602575262;0,00938707373827626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
